primary_procedure_id,coa_requirement_keys
DIGESTIVE_037,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_038,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_039,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_040,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_041,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_042,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_043,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_044,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_045,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_046,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_047,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_048,"[""coa.case.anatomic.intra_abdominal""]"
OBSTETRIC_001,"[""coa.case.ob.cesarean_delivery"", ""coa.case.ob.obstetrical_management"", ""coa.case.anatomic.intra_abdominal""]"
OBSTETRIC_002,"[""coa.case.ob.cesarean_delivery"", ""coa.case.ob.obstetrical_management"", ""coa.case.anatomic.intra_abdominal""]"
OBSTETRIC_003,"[""coa.case.ob.cesarean_delivery"", ""coa.case.ob.obstetrical_management"", ""coa.case.anatomic.intra_abdominal""]"
OBSTETRIC_004,"[""coa.case.ob.obstetrical_management""]"
OBSTETRIC_005,"[""coa.case.anatomic.intra_abdominal""]"
OBSTETRIC_006,"[""coa.case.anatomic.intra_abdominal""]"
OBSTETRIC_007,"[""coa.case.ob.obstetrical_management""]"
OBSTETRIC_008,"[""coa.case.anatomic.intra_abdominal""]"
GYNECOLOGY_001,"[""coa.case.anatomic.intra_abdominal""]"
GYNECOLOGY_002,"[""coa.case.anatomic.intra_abdominal""]"
GYNECOLOGY_003,"[""coa.case.anatomic.intra_abdominal""]"
GYNECOLOGY_004,"[""coa.case.anatomic.intra_abdominal""]"
GYNECOLOGY_005,"[""coa.case.anatomic.intra_abdominal""]"
GYNECOLOGY_006,"[""coa.case.anatomic.intra_abdominal""]"
GYNECOLOGY_007,"[""coa.case.anatomic.intra_abdominal""]"
GYNECOLOGY_008,"[""coa.case.anatomic.intra_abdominal""]"
GYNECOLOGY_009,"[""coa.case.anatomic.intra_abdominal""]"
GYNECOLOGY_010,"[""coa.case.anatomic.intra_abdominal""]"
GYNECOLOGY_011,"[""coa.case.anatomic.intra_abdominal""]"
GYNECOLOGY_012,"[""coa.case.anatomic.intra_abdominal""]"
GYNECOLOGY_013,"[""coa.case.anatomic.intra_abdominal""]"
GYNECOLOGY_014,"[""coa.case.anatomic.intra_abdominal""]"
GYNECOLOGY_015,"[""coa.case.anatomic.intra_abdominal""]"
GYNECOLOGY_016,"[""coa.case.anatomic.intra_abdominal""]"
GYNECOLOGY_017,"[""coa.case.anatomic.intra_abdominal""]"
UROLOGY_001,"[""coa.case.anatomic.intra_abdominal""]"
UROLOGY_002,"[""coa.case.anatomic.intra_abdominal""]"
UROLOGY_003,"[""coa.case.anatomic.intra_abdominal""]"
UROLOGY_004,"[""coa.case.anatomic.intra_abdominal""]"
UROLOGY_005,"[""coa.case.anatomic.intra_abdominal""]"
UROLOGY_006,"[""coa.case.anatomic.intra_abdominal""]"
UROLOGY_007,"[""coa.case.anatomic.intra_abdominal""]"
UROLOGY_008,"[""coa.case.anatomic.intra_abdominal""]"
UROLOGY_009,"[""coa.case.anatomic.intra_abdominal""]"
UROLOGY_010,"[""coa.case.anatomic.intra_abdominal""]"
UROLOGY_011,"[""coa.case.anatomic.intra_abdominal""]"
UROLOGY_012,"[""coa.case.anatomic.intra_abdominal""]"
UROLOGY_013,"[""coa.case.anatomic.intra_abdominal""]"
UROLOGY_014,"[""coa.case.anatomic.intra_abdominal""]"
UROLOGY_015,"[""coa.case.anatomic.intra_abdominal""]"
UROLOGY_016,"[""coa.case.anatomic.intra_abdominal""]"
UROLOGY_017,"[""coa.case.anatomic.intra_abdominal""]"
UROLOGY_018,"[""coa.case.anatomic.intra_abdominal""]"
UROLOGY_019,"[""coa.case.anatomic.intra_abdominal""]"
UROLOGY_020,"[""coa.case.anatomic.intra_abdominal""]"
UROLOGY_021,"[""coa.case.anatomic.intra_abdominal""]"
UROLOGY_022,[]
UROLOGY_023,[]
UROLOGY_024,"[""coa.case.anatomic.intra_abdominal""]"
UROLOGY_025,"[""coa.case.anatomic.intra_abdominal""]"
